Frame,explicit-simd-thr,openacc-offload,openmp-offload,cuda-offload2,cuda-offload3,cuda-offload3b,explicit-simd,implicit-simd,openmp-loop,openmp-simd,thread-loop,vanilla
1,123.45415299999999093,296.93165900000002466,1652.1558200000001762,298.0952190000000428,323.04247700000001942,326.51251300000001265,536.33651499999996304,702.80553700000007211,166.70136100000001989,706.64389400000004571,167.59312100000002488,937.39388100000007853
2,123.86336799999997993,213.05340199999994866,1556.5304619999997158,144.22444499999997447,245.10317000000000576,244.79758949999998663,533.69521399999996447,705.28891000000010081,166.48650499999996555,708.43618800000024294,165.63147400000005405,938.71259599999984857
3,119.11260400000000459,201.36831399999999803,1546.8575519999997141,138.50637600000004568,193.54499000000001274,206.00260266666666098,533.58720400000004247,706.7655889999999772,161.83818800000005922,709.87279300000011517,161.44761600000001067,940.74317000000019107
4,119.54526599999998382,203.16075599999993528,1619.0157930000000306,138.12865799999997307,169.35919175000000791,154.51401699999999551,535.24296400000048379,708.22316900000009809,163.2199079999999185,711.47383299999989958,161.92590499999997178,949.17614800000023934
5,120.73922300000006658,210.65592900000007148,1668.5775189999985741,138.21493500000002541,113.63726513333334367,128.10771740000001273,540.1033509999999751,714.50118600000007518,163.40798800000001734,717.66878599999995458,163.13530799999998067,959.77942400000017642
6,122.94104000000005783,217.05082599999991544,1666.5120400000005247,137.98546000000001754,150.54495544444444022,132.19563633333331154,547.18092300000000705,722.95196200000066256,164.8311909999999898,726.0987800000000334,164.31131799999997156,966.78520299999968302
7,123.75671700000000897,235.23468999999997209,1703.0388799999993807,141.90550300000003858,135.49100039999999012,131.88740185714286213,552.93816899999990255,729.08150499999987915,166.36895300000009001,732.85500099999990198,165.66297399999996287,976.19913900000017293
8,126.6474829999999514,230.88845899999998323,1653.5175190000011298,143.89286000000001309,123.17403336363636868,115.40863074999998616,564.0376639999993813,743.40261000000043623,167.56040799999993851,746.4698090000006232,167.90781600000005369,986.66887400000030084
9,127.45520299999991209,228.02842000000001121,1689.4446189999996477,144.7080590000000484,106.54686350000000061,105.11410177777777619,567.48922700000025543,747.83989199999996345,169.41408599999996909,750.87940999999955238,169.69761000000005424,995.83988599999975122
10,127.8955840000000137,227.50230699999997341,1666.8595060000034209,141.70024300000005724,112.91065249999999764,111.56572760000000244,569.50077200000043831,750.58705699999973149,170.97282500000000027,753.90090500000007978,169.66650199999989468,1005.6260500000000775
